,bike_name,price,kms_driven,owner,power,year
0,TVS Star City,35000.0,17654.0,First Owner,110.0,2020
1,Royal Enfield Classic,119900.0,11000.0,First Owner,350.0,2019
2,Triumph Daytona 675R,600000.0,110.0,First Owner,675.0,2015
3,TVS Apache RTR,65000.0,16329.0,First Owner,180.0,2019
4,Yamaha FZ S,80000.0,10000.0,First Owner,150.0,2020
5,Yamaha FZs 150cc,53499.0,25000.0,First Owner,150.0,2017
6,Honda CB Hornet,85000.0,8200.0,First Owner,160.0,2020
7,Hero Splendor Plus,45000.0,12645.0,First Owner,100.0,2020
8,Royal Enfield Thunderbird,145000.0,9190.0,First Owner,350.0,2020
9,Royal Enfield Classic,88000.0,19000.0,Second Owner,500.0,2016
10,Yamaha YZF-R15 2.0,72000.0,20000.0,First Owner,150.0,2016
11,Yamaha FZ25 250cc,95000.0,9665.0,First Owner,250.0,2019
12,Bajaj Pulsar NS200,78000.0,9900.0,First Owner,200.0,2019
13,Bajaj Discover 100M,29499.0,20000.0,First Owner,100.0,2015
14,Bajaj Discover 125M,29900.0,20000.0,First Owner,125.0,2016
15,Bajaj Pulsar NS200,90000.0,11574.0,First Owner,200.0,2020
16,Bajaj Pulsar RS200,120000.0,23000.0,First Owner,200.0,2020
17,Suzuki Gixxer SF,48000.0,24725.0,First Owner,150.0,2018
18,Benelli 302R 300CC,240000.0,15025.0,Second Owner,302.0,2020
19,Bajaj Discover 125M,29900.0,20000.0,First Owner,125.0,2016
20,Bajaj Pulsar RS200,120000.0,23000.0,First Owner,200.0,2020
21,Suzuki Gixxer SF,48000.0,24725.0,First Owner,150.0,2018
22,Hero Splendor iSmart,46500.0,3500.0,First Owner,110.0,2021
23,Royal Enfield Classic,121700.0,24520.0,First Owner,500.0,2018
24,Yamaha FZ V,45000.0,23000.0,First Owner,150.0,2017
25,Bajaj Pulsar NS200,78000.0,9900.0,First Owner,200.0,2019
26,Hero Super Splendor,20000.0,29305.0,First Owner,125.0,2007
27,Honda CBF Stunner,20800.0,30500.0,Second Owner,125.0,2016
28,Bajaj Pulsar 150cc,50000.0,19000.0,First Owner,150.0,2015
29,Honda X-Blade 160CC,81200.0,9100.0,First Owner,160.0,2021
30,Bajaj Pulsar NS200,88000.0,21914.0,First Owner,200.0,2020
31,Yamaha YZF-R15 2.0,80000.0,20000.0,Second Owner,150.0,2019
32,Bajaj Avenger 220cc,40900.0,15000.0,First Owner,220.0,2017
33,KTM RC 390cc,180000.0,17700.0,First Owner,390.0,2019
34,Honda CB Unicorn,40000.0,30000.0,First Owner,150.0,2015
35,KTM Duke 200cc,70000.0,100000.0,Second Owner,200.0,2015
36,Royal Enfield Classic,98800.0,39000.0,First Owner,350.0,2018
37,Honda CBR 150R,65000.0,43000.0,First Owner,150.0,2017
38,Royal Enfield Thunderbird,190500.0,4550.0,First Owner,500.0,2021
39,KTM RC 200cc,179000.0,3400.0,First Owner,200.0,2021
40,Royal Enfield Thunderbird,70000.0,45000.0,First Owner,350.0,2015
41,Bajaj Avenger 220cc,45000.0,36100.0,First Owner,220.0,2017
42,Royal Enfield Bullet,78000.0,8500.0,First Owner,350.0,2010
43,Bajaj Avenger Street,110000.0,2550.0,First Owner,220.0,2021
44,Royal Enfield Classic,85000.0,18000.0,First Owner,350.0,2017
45,Bajaj Pulsar NS200,38000.0,35000.0,First Owner,200.0,2014
46,Royal Enfield Thunderbird,55346.0,38000.0,First Owner,350.0,2013
47,Mahindra Centuro NXT,28000.0,45000.0,First Owner,110.0,2021
48,Hero Hunk 150cc,37000.0,10800.0,First Owner,150.0,2015
49,Suzuki Gixxer SF,97000.0,4400.0,First Owner,150.0,2020
50,Yamaha FZ 150cc,40000.0,357000.0,First Owner,150.0,2015
51,Royal Enfield‎ Bullet,90000.0,15300.0,First Owner,350.0,2016
52,TVS Apache RTR,60000.0,30000.0,First Owner,160.0,2018
53,Honda CB Shine,21900.0,30000.0,Second Owner,125.0,2016
54,Bajaj Avenger 220cc,40000.0,64000.0,First Owner,220.0,2016
55,Benelli TNT 600i,475000.0,11500.0,Second Owner,600.0,2020
56,Honda Dream Yuga,34500.0,17056.0,First Owner,110.0,2018
57,Yamaha SZ 150cc,25000.0,172082.0,First Owner,150.0,2014
58,Suzuki Gixxer 150cc,30200.0,45000.0,First Owner,150.0,2016
59,Bajaj Avenger Cruise,65000.0,35000.0,First Owner,220.0,2018
60,Bajaj Pulsar 150cc,25000.0,38000.0,First Owner,150.0,2014
61,Kawasaki Z900,935000.0,2500.0,First Owner,900.0,2021
62,Royal Enfield Bullet,107100.0,15438.0,Second Owner,350.0,2020
63,Bajaj Pulsar 220cc,80000.0,6000.0,First Owner,220.0,2020
64,Royal Enfield Thunderbird,88000.0,19000.0,First Owner,350.0,2018
65,KTM Duke 200cc,94700.0,32700.0,First Owner,200.0,2019
